Source,Target,Type
1,36,Undirected
2,37,Undirected
2,38,Undirected
3,39,Undirected
2,40,Undirected
1,41,Undirected
1,42,Undirected
1,43,Undirected
2,44,Undirected
3,45,Undirected
3,46,Undirected
4,47,Undirected
1,48,Undirected
1,49,Undirected
1,50,Undirected
4,51,Undirected
4,52,Undirected
4,53,Undirected
1,54,Undirected
1,55,Undirected
1,56,Undirected
4,57,Undirected
2,58,Undirected
2,59,Undirected
4,60,Undirected
4,61,Undirected
3,62,Undirected
4,63,Undirected
3,64,Undirected
2,65,Undirected
5,66,Undirected
3,67,Undirected
2,68,Undirected
2,69,Undirected
4,70,Undirected
3,71,Undirected
6,72,Undirected
5,73,Undirected
3,74,Undirected
3,75,Undirected
2,76,Undirected
4,77,Undirected
1,78,Undirected
2,79,Undirected
1,80,Undirected
3,81,Undirected
3,82,Undirected
1,83,Undirected
3,84,Undirected
3,85,Undirected
1,86,Undirected
1,87,Undirected
1,88,Undirected
5,89,Undirected
2,90,Undirected
2,91,Undirected
1,92,Undirected
2,93,Undirected
1,94,Undirected
1,95,Undirected
3,96,Undirected
4,97,Undirected
3,98,Undirected
4,99,Undirected
3,100,Undirected
1,101,Undirected
1,102,Undirected
1,103,Undirected
1,104,Undirected
1,105,Undirected
3,106,Undirected
2,107,Undirected
1,108,Undirected
1,109,Undirected
6,110,Undirected
4,110,Undirected
3,111,Undirected
3,112,Undirected
3,113,Undirected
4,114,Undirected
4,115,Undirected
2,116,Undirected
1,117,Undirected
1,118,Undirected
1,119,Undirected
3,120,Undirected
2,121,Undirected
1,122,Undirected
1,123,Undirected
1,124,Undirected
3,125,Undirected
2,126,Undirected
4,127,Undirected
1,128,Undirected
1,129,Undirected
4,130,Undirected
4,131,Undirected
3,132,Undirected
5,133,Undirected
1,134,Undirected
1,135,Undirected
1,136,Undirected
1,137,Undirected
5,138,Undirected
5,139,Undirected
2,60,Undirected
2,140,Undirected
3,141,Undirected
3,142,Undirected
4,143,Undirected
4,144,Undirected
6,145,Undirected
4,146,Undirected
4,147,Undirected
1,148,Undirected
3,149,Undirected
3,150,Undirected
1,151,Undirected
1,152,Undirected
2,153,Undirected
2,154,Undirected
2,155,Undirected
1,156,Undirected
1,157,Undirected
1,158,Undirected
1,159,Undirected
1,160,Undirected
1,161,Undirected
3,162,Undirected
3,163,Undirected
3,164,Undirected
5,165,Undirected
4,166,Undirected
2,167,Undirected
2,168,Undirected
1,169,Undirected
1,170,Undirected
4,171,Undirected
4,172,Undirected
2,173,Undirected
1,174,Undirected
1,175,Undirected
1,176,Undirected
1,177,Undirected
3,178,Undirected
5,179,Undirected
3,180,Undirected
2,181,Undirected
1,182,Undirected
1,183,Undirected
1,184,Undirected
1,185,Undirected
1,186,Undirected
1,187,Undirected
6,188,Undirected
4,189,Undirected
4,190,Undirected
4,191,Undirected
4,192,Undirected
4,193,Undirected
1,194,Undirected
1,195,Undirected
1,196,Undirected
1,197,Undirected
2,198,Undirected
2,199,Undirected
2,200,Undirected
6,201,Undirected
4,202,Undirected
1,203,Undirected
1,204,Undirected
1,205,Undirected
2,206,Undirected
1,207,Undirected
1,208,Undirected
4,209,Undirected
4,210,Undirected
3,211,Undirected
5,212,Undirected
5,213,Undirected
5,214,Undirected
5,215,Undirected
3,216,Undirected
3,217,Undirected
4,218,Undirected
4,219,Undirected
6,220,Undirected
4,221,Undirected
4,222,Undirected
7,74,Undirected
2,223,Undirected
2,224,Undirected
2,225,Undirected
3,226,Undirected
3,227,Undirected
3,228,Undirected
1,229,Undirected
1,230,Undirected
1,231,Undirected
5,232,Undirected
1,233,Undirected
4,234,Undirected
6,235,Undirected
1,236,Undirected
1,237,Undirected
1,238,Undirected
1,239,Undirected
2,240,Undirected
4,241,Undirected
4,242,Undirected
1,243,Undirected
1,244,Undirected
1,245,Undirected
7,246,Undirected
8,247,Undirected
5,248,Undirected
5,249,Undirected
5,250,Undirected
2,251,Undirected
9,252,Undirected
9,253,Undirected
3,254,Undirected
5,255,Undirected
5,256,Undirected
5,257,Undirected
5,258,Undirected
2,259,Undirected
5,260,Undirected
4,261,Undirected
4,262,Undirected
2,263,Undirected
10,84,Undirected
5,264,Undirected
5,265,Undirected
1,266,Undirected
1,267,Undirected
2,268,Undirected
6,269,Undirected
4,270,Undirected
4,271,Undirected
4,272,Undirected
