Id,Label,sexlabel,type
1,Premio Goncourt,,false
2,Premio Nobel de Literatura,,false
3,Premio Miguel de Cervantes,,false
4,Premio O. Henry,,false
5,Premio Pulitzer,,false
6,Premio de Ficción Femenina,,false
7,Premio Nadal,,false
8,Premio Camões,,false
9,Gran Premio de Novela de la Academia Francesa,,false
10,Premio Biblioteca Breve,,false
11,Premio de la Paz del Comercio Librero Alemán,,false
12,Premio Strega,,false
13,Premio Nacional del Libro de Ficción,,false
14,Premio Loewe,,false
15,Premio Herralde,,false
16,Premio Ojo Crítico,,false
17,Premio Adonáis de Poesía,,false
18,Premio Lazarillo,,false
19,Premio Hans Christian Andersen,,false
20,Premio Booker,,false
21,Premio Alfaguara de Novela,,false
22,Premio literario Nike,,false
23,Premio Hiperión,,false
24,Premio Nacional de Narrativa,,false
25,Premio Nacional de Literatura Infantil y Juvenil,,false
26,Premio Planeta,,false
27,Premio Nacional de Poesía,,false
28,Premio Princesa de Asturias de las Letras,,false
29,Premio de la Crítica Española,,false
30,Premio Café Gijón,,false
31,Premio Castilla y León de las Letras,,false
32,Premio Anagrama,,false
33,Premio El Barco de Vapor,,false
34,Premio Iberoamericano de Poesía Pablo Neruda,,false
35,Premio Dulce Chacón de Narrativa Española,,false
36,Elsa Triolet,femenino,true
37,Halldór Laxness,masculino,true
38,Elias Canetti,masculino,true
39,Jorge Luis Borges,masculino,true
40,Bob Dylan,masculino,true
41,Maurice Genevoix,masculino,true
42,Atiq Rahimi,masculino,true
43,Henri Troyat,masculino,true
44,Kenzaburō Ōe,masculino,true
45,Elena Poniatowska,femenino,true
46,Álvaro Mutis,masculino,true
47,Woody Allen,masculino,true
48,Jérôme Ferrari,masculino,true
49,Marcel Arland,masculino,true
50,Amin Maalouf,masculino,true
51,Truman Capote,masculino,true
52,Andrea Barrett,femenino,true
53,Martha Gellhorn,femenino,true
54,Simone de Beauvoir,femenino,true
55,Francis Ambrière,masculino,true
56,André Malraux,masculino,true
57,Annie Proulx,femenino,true
58,François Mauriac,masculino,true
59,Rabindranath Tagore,masculino,true
60,Saul Bellow,masculino,true
61,William Faulkner,masculino,true
62,Carlos Fuentes,masculino,true
63,John Updike,masculino,true
64,Octavio Paz,masculino,true
65,Darío Fo,masculino,true
66,George Gershwin,masculino,true
67,Camilo José Cela,masculino,true
68,Günter Grass,masculino,true
69,Pearl S. Buck (mi yaya),femenino,true
70,Raymond Carver,masculino,true
71,Ana María Matute,femenino,true
72,Zadie Smith,femenino,true
73,Aaron Copland,masculino,true
74,Francisco Umbral,masculino,true
75,Juan Carlos Onetti,masculino,true
76,Gabriela Mistral,femenino,true
77,Joyce Carol Oates,femenino,true
78,Cynthia Dwork,femenino,true
79,Joseph Brodsky,masculino,true
80,Henri Barbusse,masculino,true
81,Jorge Guillén,masculino,true
82,Eduardo Mendoza,masculino,true
83,Marcel Proust,masculino,true
84,Mario Vargas Llosa,masculino,true
85,Cristina Peri Rossi,femenino,true
86,Jonathan Littell,masculino,true
87,Robert Merle,masculino,true
88,Jean Carrière,masculino,true
89,John J. Pershing,masculino,true
90,Sigrid Undset,femenino,true
91,John Galsworthy,masculino,true
92,Marie NDiaye,femenino,true
93,Gabriel García Márquez,masculino,true
94,Maurice Druon,masculino,true
95,Patrick Modiano,masculino,true
96,Miguel Delibes,masculino,true
97,Lorrie Moore,femenino,true
98,María Zambrano,femenino,true
99,Wallace Stegner,masculino,true
100,Alejo Carpentier,masculino,true
101,Andreï Makine,masculino,true
102,Pascal Quignard,masculino,true
103,André Schwarz-Bart,masculino,true
104,Marguerite Duras,femenino,true
105,Georges Duhamel,masculino,true
106,Rafael Alberti,masculino,true
107,Luigi Pirandello,masculino,true
108,Romain Gary,masculino,true
109,Michel Tournier,masculino,true
110,Chimamanda Ngozi Adichie,femenino,true
111,Adolfo Bioy Casares,masculino,true
112,Guillermo Cabrera Infante,masculino,true
113,Francisco Ayala,masculino,true
114,A. S. Byatt,femenino,true
115,Alice Walker,femenino,true
116,Salvatore Quasimodo,masculino,true
117,Jean Echenoz,masculino,true
118,Jean-Jacques Gautier,masculino,true
119,Alphonse de Châteaubriant,masculino,true
120,Dulce María Loynaz,femenino,true
121,Naguib Mahfuz,masculino,true
122,Michel Houellebecq,masculino,true
123,Vintilă Horia,masculino,true
124,Érik Orsenna,masculino,true
125,Dámaso Alonso,masculino,true
126,Grazia Deledda,femenino,true
127,Eudora Welty,femenino,true
128,Tahar Ben Jelloun,masculino,true
129,Mathias Enard,masculino,true
130,Irwin Shaw,masculino,true
131,John Cheever,masculino,true
132,Gerardo Diego,masculino,true
133,Maxwell Anderson,masculino,true
134,Béatrix Beck,femenino,true
135,Gilles Leroy,masculino,true
136,Armand Lanoux,masculino,true
137,Lucien Fabre,masculino,true
138,Walter Lippmann,masculino,true
139,Carl Bernstein,masculino,true
140,Winston Churchill,masculino,true
141,Jorge Edwards,masculino,true
142,Ernesto Sabato,masculino,true
143,Ruth Prawer Jhabvala,femenino,true
144,Katherine Anne Porter,femenino,true
145,Susanna Clarke,femenino,true
146,Flannery O'Connor,femenino,true
147,Bernard Malamud,masculino,true
148,Dominique Fernandez,masculino,true
149,Juan Goytisolo,masculino,true
150,Nicanor Parra,masculino,true
151,Anna Langfus,femenino,true
152,Edmonde Charles-Roux,femenino,true
153,Ernest Hemingway,masculino,true
154,Pär Lagerkvist,masculino,true
155,Eugenio Montale,masculino,true
156,Patrick Rambaud,masculino,true
157,Bernard Clavel,masculino,true
158,René Maran,masculino,true
159,Jean-Christophe Rufin,masculino,true
160,Jacques-Pierre Amette,masculino,true
161,Didier Van Cauwelaert,masculino,true
162,Juan Marsé,masculino,true
163,Gonzalo Torrente Ballester,masculino,true
164,Augusto Roa Bastos,masculino,true
165,Wesley Morris,masculino,true
166,Alice Munro,femenino,true
167,Eugene O'Neill,masculino,true
168,Jean-Paul Sartre,masculino,true
169,André Pieyre de Mandiargues,masculino,true
170,Patrick Chamoiseau,masculino,true
171,John Irving,masculino,true
172,Michael Chabon,masculino,true
173,Mo Yan,masculino,true
174,Alexis Jenni,masculino,true
175,Henri Béraud,masculino,true
176,Maxence Van der Meersch,masculino,true
177,François Weyergans,masculino,true
178,Antonio Buero Vallejo,masculino,true
179,Conrad Aiken,masculino,true
180,Gonzalo Rojas,masculino,true
181,Jacinto Benavente,masculino,true
182,Paule Constant,femenino,true
183,Frédérick Tristan,masculino,true
184,Didier Decoin,masculino,true
185,Pierre Combescot,masculino,true
186,Laurent Gaudé,masculino,true
187,Jean-Jacques Schuhl,masculino,true
188,Rose Tremain,femenino,true
189,Jane Smiley,femenino,true
190,Louise Erdrich,femenino,true
